year,country,happiness_score,happiness_status
2018,Pakistan,5.472,Amber
2018,Hong Kong,5.43,Amber
2018,Portugal,5.41,Amber
2018,Serbia,5.398,Amber
2018,Greece,5.358,Amber
2018,Lebanon,5.358,Amber
2018,Montenegro,5.347,Amber
2018,Croatia,5.321000000000001,Amber
2018,Dominican Republic,5.3020000000000005,Amber
2018,Algeria,5.295,Amber
2018,Morocco,5.254,Amber
2018,China,5.246,Amber
2018,Azerbaijan,5.2010000000000005,Amber
2018,Tajikistan,5.199,Amber
2018,Macedonia,5.185,Amber
2018,Jordan,5.1610000000000005,Amber
2018,Nigeria,5.155,Amber
2018,Kyrgyzstan,5.131,Amber
2018,Bosnia and Herzegovina,5.129,Amber
2018,Mongolia,5.125,Amber
2018,Vietnam,5.103,Amber
2018,Indonesia,5.093,Amber
2018,Bhutan,5.082,Amber
2018,Somalia,4.982,Amber
2018,Cameroon,4.975,Amber
2018,Bulgaria,4.933,Amber
2018,Nepal,4.88,Amber
2018,Venezuela,4.806,Amber
2018,Gabon,4.758,Amber
2018,Palestinian Territories,4.743,Amber
2018,South Africa,4.724,Amber
2018,Iran,4.707,Amber
2018,Ivory Coast,4.671,Amber
2018,Ghana,4.657,Amber
2018,Senegal,4.631,Amber
2018,Laos,4.623,Amber
2018,Tunisia,4.592,Amber
2018,Albania,4.586,Amber
2018,Sierra Leone,4.571000000000001,Amber
2018,Congo (Brazzaville),4.559,Amber
2018,Bangladesh,4.5,Amber
2018,Sri Lanka,4.471,Amber
2018,Iraq,4.456,Amber
2018,Mali,4.447,Amber
2018,Namibia,4.441,Amber
2018,Cambodia,4.433,Amber
2018,Burkina Faso,4.4239999999999995,Amber
2018,Egypt,4.419,Amber
2018,Mozambique,4.417,Amber
2018,Kenya,4.41,Amber
2018,Zambia,4.377,Amber
2018,Mauritania,4.356,Amber
2018,Ethiopia,4.35,Amber
2018,Georgia,4.34,Amber
2018,Armenia,4.321000000000001,Amber
2018,Myanmar,4.308,Amber
2018,Chad,4.301,Amber
2018,Congo (Kinshasa),4.245,Amber
2018,India,4.19,Amber
2018,Niger,4.166,Amber
2018,Uganda,4.1610000000000005,Amber
2018,Benin,4.141,Amber
2018,Sudan,4.138999999999999,Amber
2018,Ukraine,4.103,Amber
2018,Togo,3.9989999999999997,Amber
2018,Guinea,3.964,Amber
2018,Lesotho,3.8080000000000003,Amber
2018,Angola,3.795,Amber
2018,Madagascar,3.7739999999999996,Amber
2018,Zimbabwe,3.6919999999999997,Amber
2018,Afghanistan,3.6319999999999997,Amber
2018,Botswana,3.59,Amber
2018,Malawi,3.5869999999999997,Amber
2018,Haiti,3.582,Amber
2018,Liberia,3.495,Amber
2018,Syria,3.4619999999999997,Amber
2018,Rwanda,3.408,Amber
2018,Yemen,3.355,Amber
2018,Tanzania,3.303,Amber
2018,South Sudan,3.2539999999999996,Amber
2018,Central African Republic,3.083,Amber
2018,Burundi,2.905,Amber
2019,Finland,7.769,Green
2019,Denmark,7.6,Green
2019,Norway,7.553999999999999,Green
2019,Iceland,7.494,Green
2019,Netherlands,7.4879999999999995,Green
2019,Switzerland,7.48,Green
2019,Sweden,7.343,Green
2019,New Zealand,7.307,Green
2019,Canada,7.278,Green
2019,Austria,7.246,Green
2019,Australia,7.228,Green
2019,Costa Rica,7.167000000000001,Green
2019,Israel,7.138999999999999,Green
2019,Luxembourg,7.09,Green
2019,United Kingdom,7.053999999999999,Green
2019,Ireland,7.021,Green
2019,Germany,6.985,Green
2019,Belgium,6.922999999999999,Green
2019,United States,6.892,Green
2019,Czech Republic,6.852,Green
2019,United Arab Emirates,6.825,Green
2019,Malta,6.726,Green
2019,Mexico,6.595,Green
2019,France,6.5920000000000005,Green
2019,Taiwan,6.446000000000001,Green
2019,Chile,6.444,Green
2019,Guatemala,6.436,Green
2019,Saudi Arabia,6.375,Green
2019,Qatar,6.374,Green
2019,Spain,6.354,Green
2019,Panama,6.321000000000001,Green
2019,Brazil,6.3,Green
2019,Uruguay,6.292999999999999,Green
2019,Singapore,6.2620000000000005,Green
2019,El Salvador,6.252999999999999,Green
2019,Italy,6.223,Green
2019,Bahrain,6.199,Green
2019,Slovakia,6.1979999999999995,Green
2019,Trinidad & Tobago,6.192,Green
2019,Poland,6.182,Green
2019,Uzbekistan,6.1739999999999995,Green
2019,Lithuania,6.149,Green
2019,Colombia,6.125,Green
2019,Slovenia,6.117999999999999,Green
2019,Nicaragua,6.105,Green
2019,Kosovo,6.1,Green
2019,Argentina,6.086,Green
2019,Romania,6.07,Green
2019,Cyprus,6.046,Green
2019,Ecuador,6.028,Green
2019,Kuwait,6.021,Green
2019,Thailand,6.007999999999999,Green
2019,Latvia,5.94,Green
2019,South Korea,5.895,Green
2019,Estonia,5.893,Green
2019,Jamaica,5.89,Green
2019,Mauritius,5.888,Green
2019,Japan,5.886,Green
2019,Honduras,5.86,Green
2019,Kazakhstan,5.809,Green
2019,Bolivia,5.779,Green
2019,Hungary,5.757999999999999,Green
2019,Paraguay,5.742999999999999,Green
2019,Northern Cyprus,5.718,Green
2019,Peru,5.697,Green
2019,Portugal,5.693,Green
2019,Pakistan,5.653,Green
2019,Russia,5.648,Green
2019,Philippines,5.631,Green
2019,Serbia,5.603,Green
2019,Moldova,5.529,Amber
2019,Libya,5.525,Amber
2019,Montenegro,5.523,Amber
2019,Tajikistan,5.4670000000000005,Amber
2019,Croatia,5.432,Amber
2019,Hong Kong,5.43,Amber
2019,Dominican Republic,5.425,Amber
2019,Bosnia and Herzegovina,5.386,Amber
2019,Turkey,5.372999999999999,Amber
2019,Malaysia,5.3389999999999995,Amber
2019,Belarus,5.3229999999999995,Amber
2019,Greece,5.287000000000001,Amber
2019,Mongolia,5.285,Amber
2019,North Macedonia,5.274,Amber
2019,Nigeria,5.265,Amber
2019,Kyrgyzstan,5.261,Amber
2019,Turkmenistan,5.247000000000001,Amber
2019,Algeria,5.211,Amber
2019,Morocco,5.207999999999999,Amber
2019,Azerbaijan,5.207999999999999,Amber
2019,Lebanon,5.197,Amber
2019,Indonesia,5.192,Amber
2019,China,5.191,Amber
2019,Vietnam,5.175,Amber
2019,Bhutan,5.082,Amber
2019,Cameroon,5.044,Amber
2019,Bulgaria,5.011,Amber
2019,Ghana,4.996,Amber
2019,Ivory Coast,4.944,Amber
2019,Nepal,4.913,Amber
2019,Jordan,4.906000000000001,Amber
2019,Benin,4.883,Amber
2019,Congo (Brazzaville),4.812,Amber
2019,Gabon,4.7989999999999995,Amber
2019,Laos,4.796,Amber
2019,South Africa,4.7219999999999995,Amber
2019,Albania,4.718999999999999,Amber
2019,Venezuela,4.707,Amber
2019,Cambodia,4.7,Amber
2019,Palestinian Territories,4.696000000000001,Amber
2019,Senegal,4.681,Amber
2019,Somalia,4.668,Amber
2019,Namibia,4.638999999999999,Amber
2019,Niger,4.628,Amber
2019,Burkina Faso,4.587,Amber
2019,Armenia,4.559,Amber
2019,Iran,4.548,Amber
2019,Guinea,4.534,Amber
2019,Georgia,4.519,Amber
2019,Gambia,4.516,Amber
2019,Kenya,4.5089999999999995,Amber
2019,Mauritania,4.49,Amber
2019,Mozambique,4.466,Amber
2019,Tunisia,4.461,Amber
2019,Bangladesh,4.456,Amber
2019,Iraq,4.437,Amber
2019,Congo (Kinshasa),4.418,Amber
2019,Mali,4.39,Amber
2019,Sierra Leone,4.374,Amber
2019,Sri Lanka,4.3660000000000005,Amber
2019,Myanmar,4.36,Amber
2019,Chad,4.35,Amber
2019,Ukraine,4.332,Amber
2019,Ethiopia,4.2860000000000005,Amber
2019,Swaziland,4.212,Amber
2019,Uganda,4.189,Amber
2019,Egypt,4.166,Amber
2019,Zambia,4.107,Amber
2019,Togo,4.085,Amber
2019,India,4.015,Amber
2019,Liberia,3.975,Amber
2019,Comoros,3.9730000000000003,Amber
2019,Madagascar,3.9330000000000003,Amber
2019,Lesotho,3.802,Amber
2019,Burundi,3.775,Amber
2019,Zimbabwe,3.6630000000000003,Amber
2019,Haiti,3.597,Amber
2019,Botswana,3.488,Amber
2019,Syria,3.4619999999999997,Amber
2019,Malawi,3.41,Amber
2019,Yemen,3.38,Amber
2019,Rwanda,3.3339999999999996,Amber
2019,Tanzania,3.2310000000000003,Amber
2019,Afghanistan,3.2030000000000003,Amber
2019,Central African Republic,3.083,Amber
2019,South Sudan,2.853,Amber
